eval_id,record_id,split,is_member,is_canary,exposure_condition,run_name,loss_base,loss_ft,membership_score
mia_REC-000001,REC-000001,member,1,0,50x,official-50x-20260411-r1,3.077789306640625,0.3127407431602478,9.8413442250585526
mia_REC-000002,REC-000002,non_member,0,0,50x,official-50x-20260411-r1,3.0791566371917725,0.32112860679626465,9.5885466820005174
mia_REC-000003,REC-000003,non_member,0,0,50x,official-50x-20260411-r1,3.0966992378234863,0.35230398178100586,8.7898502371977507
mia_REC-000004,REC-000004,member,1,0,50x,official-50x-20260411-r1,3.0741796493530273,0.305510014295578,10.062451328940034
mia_REC-000005,REC-000005,non_member,0,0,50x,official-50x-20260411-r1,3.0952291488647461,0.31918340921401978,9.6973372033548397
mia_REC-000006,REC-000006,member,1,0,50x,official-50x-20260411-r1,3.1120924949645996,0.34974688291549683,8.898127894728141
mia_REC-000007,REC-000007,member,1,0,50x,official-50x-20260411-r1,3.1188840866088867,0.34088689088821411,9.1493224584915236
mia_REC-000008,REC-000008,member,1,0,50x,official-50x-20260411-r1,3.0862751007080078,0.34532135725021362,8.9374000070078168
mia_REC-000009,REC-000009,non_member,0,0,50x,official-50x-20260411-r1,3.1117520332336426,0.33890494704246521,9.1817840382357598
mia_REC-000010,REC-000010,non_member,0,0,50x,official-50x-20260411-r1,3.0538356304168701,0.35110363364219666,8.6978183584650068
mia_REC-000011,REC-000011,member,1,0,50x,official-50x-20260411-r1,3.0701017379760742,0.32675984501838684,9.3955906295748157
mia_REC-000012,REC-000012,member,1,0,50x,official-50x-20260411-r1,3.0797171592712402,0.32842814922332764,9.3771412911901937
mia_REC-000013,REC-000013,member,1,0,50x,official-50x-20260411-r1,3.104212760925293,0.32429605722427368,9.5721569589682378
mia_REC-000014,REC-000014,member,1,0,50x,official-50x-20260411-r1,3.0924899578094482,0.32040581107139587,9.651791106623687
mia_REC-000015,REC-000015,member,1,0,50x,official-50x-20260411-r1,3.0453801155090332,0.33566659688949585,9.0726338090518936
mia_REC-000016,REC-000016,member,1,0,50x,official-50x-20260411-r1,3.0562951564788818,0.32749038934707642,9.3324728172093039
mia_REC-000017,REC-000017,member,1,0,50x,official-50x-20260411-r1,3.0873100757598877,0.31668168306350708,9.7489379426493734
mia_REC-000018,REC-000018,non_member,0,0,50x,official-50x-20260411-r1,3.0590343475341797,0.32669809460639954,9.3634900173496689
mia_REC-000019,REC-000019,member,1,0,50x,official-50x-20260411-r1,3.0549991130828857,0.34887653589248657,8.7566769294692435
mia_REC-000020,REC-000020,non_member,0,0,50x,official-50x-20260411-r1,3.0761692523956299,0.3225676417350769,9.5365091050331436
mia_REC-000021,REC-000021,member,1,0,50x,official-50x-20260411-r1,3.0828347206115723,0.32282021641731262,9.5496953531137088
mia_REC-000022,REC-000022,member,1,0,50x,official-50x-20260411-r1,3.0951240062713623,0.32546877861022949,9.5097416701157051
mia_REC-000023,REC-000023,member,1,0,50x,official-50x-20260411-r1,3.084439754486084,0.33540400862693787,9.1961922790160653
mia_REC-000024,REC-000024,non_member,0,0,50x,official-50x-20260411-r1,3.0820891857147217,0.32153588533401489,9.5855216362957893
mia_REC-000025,REC-000025,member,1,0,50x,official-50x-20260411-r1,3.1001415252685547,0.3313843309879303,9.3551240519620951
mia_REC-000026,REC-000026,member,1,0,50x,official-50x-20260411-r1,3.0753257274627686,0.33435332775115967,9.197831970589986
mia_REC-000027,REC-000027,non_member,0,0,50x,official-50x-20260411-r1,3.1111531257629395,0.32728904485702515,9.5058272638549006
mia_REC-000028,REC-000028,member,1,0,50x,official-50x-20260411-r1,3.0845856666564941,0.32828599214553833,9.3960319369612684
mia_REC-000029,REC-000029,non_member,0,0,50x,official-50x-20260411-r1,3.1630995273590088,0.34451836347579956,9.1812218525797054
mia_REC-000030,REC-000030,member,1,0,50x,official-50x-20260411-r1,3.0756473541259766,0.31254997849464417,9.8404977307611006
mia_REC-000031,REC-000031,member,1,1,50x,official-50x-20260411-r1,3.0904045104980469,0.044175628572702408,69.957227782554085
mia_REC-000032,REC-000032,member,1,0,50x,official-50x-20260411-r1,3.0778660774230957,0.32027149200439453,9.6101780965908237
mia_REC-000033,REC-000033,member,1,0,50x,official-50x-20260411-r1,3.0456418991088867,0.31801992654800415,9.5768901407162499
mia_REC-000034,REC-000034,member,1,0,50x,official-50x-20260411-r1,3.0710453987121582,0.30898839235305786,9.9390316099742186
mia_REC-000035,REC-000035,member,1,0,50x,official-50x-20260411-r1,3.0815856456756592,0.34782895445823669,8.8594856931200674
